credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mi_percentage,number_of_units,occupancy_status,original_cltv,original_dti,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_mortgage,amortization_type,property_state,property_type,postal_code,loan_sequence_number,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name,pre_relief_refinance_loan_sequence_number,special_eligibility_program,relief_refinance_indicator,property_valuation_method,interest_only_indicator,loan_duration_years,loan_term_category,credit_risk_category,dti_risk_category,ltv_risk_category,cltv_risk_category,combined_risk_indicator,total_months_observed,months_delinquent,months_seriously_delinquent,maximum_delinquency_status,latest_upb,ever_delinquent_flag,ever_seriously_delinquent_flag,delinquency_rate,serious_delinquency_rate,loan_balance_status
714.0,2020-03-01,Y,2050-02-01,14454,0,1,P,60,31,400000,60,3.75,R,N,FRM,MA,SF,021,F20Q10000154,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
710.0,2020-03-01,N,2040-02-01,45820,0,1,I,54,44,78000,54,4.875,R,N,FRM,KS,SF,666,F20Q10000157,C,240,1,OTHER,N,,N,2,N,9999,19.92,Medium-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,5,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
790.0,2020-03-01,N,2050-02-01,38900,0,1,P,65,42,275000,65,3.875,R,N,FRM,OR,SF,970,F20Q10000184,P,360,1,OTHER,N,,N,1,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
744.0,2020-03-01,N,2035-02-01,,0,1,P,66,48,250000,66,3.25,R,N,FRM,KY,SF,403,F20Q10000218,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Very Good,Very High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,27,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
618.0,2020-03-01,N,2050-02-01,,0,1,P,55,38,103000,55,4.0,R,N,FRM,OH,SF,451,F20Q10000267,N,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Fair,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,74,0,0,0.0,86095.28,0,0,0.0,0.0,Active Balance
818.0,2020-03-01,N,2035-02-01,,0,1,P,39,11,100000,39,3.375,R,N,FRM,IL,SF,625,F20Q10000281,C,180,1,OTHER,N,,N,2,N,9999,14.92,Short-Term,Excellent,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,14,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
795.0,2020-03-01,N,2035-02-01,,0,1,P,34,45,152000,34,2.875,R,N,FRM,ND,SF,586,F20Q10000282,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,52,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
669.0,2020-04-01,N,2050-03-01,,0,1,P,80,38,480000,80,4.25,R,N,FRM,CO,SF,812,F20Q10000301,C,360,2,OTHER,N,,N,2,N,9999,29.91,Long-Term,Fair,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
788.0,2020-04-01,N,2050-03-01,28740,0,1,P,76,50,140000,76,3.875,R,N,FRM,NY,SF,124,F20Q10000302,C,360,1,OTHER,N,,N,2,N,9999,29.91,Long-Term,Very Good,Very High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,73,0,0,0.0,93489.01,0,0,0.0,0.0,Active Balance
793.0,2020-03-01,N,2050-02-01,,0,1,P,80,34,206000,80,3.75,R,N,FRM,KS,SF,678,F20Q10000309,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,24,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
767.0,2020-03-01,N,2050-02-01,21780,25,1,P,90,34,305000,90,3.75,R,N,FRM,IN,SF,477,F20Q10000377,N,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
763.0,2020-03-01,N,2050-02-01,,0,1,P,62,28,163000,62,4.0,R,N,FRM,OK,SF,734,F20Q10000402,N,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
704.0,2020-03-01,Y,2050-02-01,,25,1,P,95,37,79000,95,3.75,R,N,FRM,OH,SF,446,F20Q10000410,P,360,2,OTHER,N,H,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,74,0,0,0.0,59338.79,0,0,0.0,0.0,Active Balance
811.0,2020-03-01,N,2050-02-01,49660,0,1,P,77,23,250000,77,4.25,R,N,FRM,OH,SF,445,F20Q10000521,C,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Excellent,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,19,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
792.0,2020-03-01,N,2035-02-01,38340,0,1,P,53,16,220000,53,3.375,R,N,FRM,MA,SF,012,F20Q10000569,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Very Good,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,41,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
698.0,2020-03-01,N,2035-02-01,47664,0,1,P,30,37,55000,30,3.5,R,N,FRM,MI,SF,480,F20Q10000574,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,74,0,0,0.0,35548.91,0,0,0.0,0.0,Active Balance
766.0,2020-03-01,N,2050-02-01,,30,1,P,95,35,569000,95,3.75,R,N,FRM,AK,SF,998,F20Q10000620,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
711.0,2020-03-01,N,2050-02-01,16740,0,1,P,67,26,300000,67,3.875,R,N,FRM,NC,SF,282,F20Q10000715,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,74,0,0,0.0,241117.88,0,0,0.0,0.0,Active Balance
691.0,2020-03-01,N,2050-02-01,,0,1,P,80,29,92000,80,4.875,R,N,FRM,OH,SF,458,F20Q10000721,C,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
706.0,2020-03-01,N,2050-02-01,48900,0,1,P,78,18,174000,78,3.75,R,N,FRM,NC,SF,284,F20Q10000730,N,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,74,0,0,0.0,152548.39,0,0,0.0,0.0,Active Balance
704.0,2020-03-01,N,2050-02-01,49420,30,1,P,95,41,309000,95,4.0,R,N,FRM,WA,SF,989,F20Q10000794,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,9,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
720.0,2020-04-01,N,2050-03-01,38900,12,1,P,85,42,299000,85,3.875,R,N,FRM,OR,SF,971,F20Q10001007,N,360,2,OTHER,N,,N,2,N,9999,29.91,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,18,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
787.0,2020-03-01,N,2050-02-01,19780,0,1,P,80,19,255000,80,3.625,R,N,FRM,IA,SF,500,F20Q10001031,N,360,2,OTHER,N,,N,1,N,9999,29.92,Long-Term,Very Good,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,6,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
786.0,2020-03-01,N,2050-02-01,31540,0,1,P,47,17,170000,47,3.75,R,N,FRM,WI,SF,535,F20Q10001086,C,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Low DTI,Low LTV,Low CLTV,Lower Risk Indicators,74,0,0,0.0,149041.1,0,0,0.0,0.0,Active Balance
792.0,2020-03-01,N,2050-02-01,49340,0,1,S,80,34,216000,80,3.75,R,N,FRM,MA,SF,015,F20Q10001119,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,73,4,0,1.0,0.0,1,0,0.0548,0.0,Zero Balance
765.0,2020-03-01,N,2050-02-01,47664,0,1,P,52,28,107000,52,4.0,R,N,FRM,MI,SF,480,F20Q10001145,C,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,15,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
747.0,2020-03-01,N,2030-02-01,,0,1,S,80,38,88000,80,3.25,R,N,FRM,IA,SF,505,F20Q10001166,P,120,1,OTHER,N,,N,2,N,9999,9.92,Short-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,18,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
765.0,2020-03-01,N,2050-02-01,38900,25,1,P,87,43,256000,87,3.75,R,N,FRM,OR,SF,970,F20Q10001174,N,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,High LTV,High CLTV,High Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
709.0,2020-03-01,N,2035-02-01,,0,1,P,80,37,96000,80,3.5,R,N,FRM,KS,SF,678,F20Q10001237,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,74,0,0,0.0,55690.92,0,0,0.0,0.0,Active Balance
793.0,2020-03-01,N,2050-02-01,38900,25,1,P,89,22,473000,89,3.875,R,N,FRM,OR,SF,972,F20Q10001287,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,22,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
795.0,2020-03-01,N,2050-02-01,41540,0,1,S,57,37,238000,57,3.75,R,N,FRM,DE,PU,199,F20Q10001328,P,360,2,OTHER,N,,N,1,N,9999,29.92,Long-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,11,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
755.0,2020-03-01,N,2040-02-01,38900,0,1,P,68,44,292000,68,3.625,R,N,FRM,OR,SF,970,F20Q10001337,N,240,2,OTHER,N,,N,1,N,9999,19.92,Medium-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,74,0,0,0.0,209698.11,0,0,0.0,0.0,Active Balance
735.0,2020-03-01,N,2050-02-01,,30,1,P,95,44,143000,95,3.75,R,N,FRM,KS,SF,678,F20Q10001353,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,High LTV,High CLTV,High Risk Indicators,74,0,0,0.0,118276.12,0,0,0.0,0.0,Active Balance
796.0,2020-04-01,N,2035-03-01,22020,0,1,P,80,35,340000,80,3.0,R,N,FRM,ND,PU,581,F20Q10001392,C,180,2,OTHER,N,,N,2,N,9999,14.91,Short-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,14,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
786.0,2020-04-01,N,2050-03-01,35154,0,1,P,58,40,260000,58,3.875,R,N,FRM,NJ,SF,077,F20Q10001403,P,360,2,OTHER,N,,N,2,N,9999,29.91,Long-Term,Very Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,73,0,0,0.0,228522.43,0,0,0.0,0.0,Active Balance
774.0,2020-03-01,N,2050-02-01,38900,0,1,P,76,40,415000,76,3.75,R,N,FRM,OR,SF,970,F20Q10001425,N,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,12,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
791.0,2020-03-01,Y,2040-02-01,,12,1,P,89,15,74000,89,3.625,R,N,FRM,IL,SF,614,F20Q10001465,P,240,1,OTHER,N,,N,2,N,9999,19.92,Medium-Term,Very Good,Low DTI,High LTV,High CLTV,Moderate Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
776.0,2020-03-01,N,2050-02-01,15540,30,1,P,95,41,266000,95,3.875,R,N,FRM,VT,SF,054,F20Q10001533,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,High DTI,High LTV,High CLTV,High Risk Indicators,74,0,0,0.0,233798.63,0,0,0.0,0.0,Active Balance
727.0,2020-03-01,N,2050-02-01,38900,0,1,P,80,33,312000,80,4.25,R,N,FRM,OR,SF,972,F20Q10001560,C,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,21,11,9,11.0,0.0,1,1,0.5238,0.4286,Zero Balance
664.0,2020-03-01,N,2035-02-01,24340,0,1,P,52,23,81000,52,3.625,R,N,FRM,MI,SF,495,F20Q10001565,C,180,2,OTHER,N,,N,2,N,9999,14.92,Short-Term,Fair,Moderate DTI,Low LTV,Low CLTV,Moderate Risk Indicators,19,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
730.0,2020-04-01,N,2035-03-01,22020,0,1,P,80,22,284000,80,3.25,R,N,FRM,ND,SF,581,F20Q10001703,C,180,2,OTHER,N,,N,2,N,9999,14.91,Short-Term,Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,73,0,0,0.0,186645.88,0,0,0.0,0.0,Active Balance
739.0,2020-03-01,N,2050-02-01,29100,0,1,P,80,39,390000,80,3.75,R,N,FRM,WI,SF,546,F20Q10001737,N,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Good,High DTI,Moderate LTV,Moderate CLTV,Moderate Risk Indicators,74,0,0,0.0,341918.54,0,0,0.0,0.0,Active Balance
788.0,2020-03-01,N,2050-02-01,49180,25,1,P,90,21,315000,90,3.75,R,N,FRM,NC,PU,271,F20Q10001749,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,16,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
806.0,2020-03-01,N,2048-10-01,18140,0,1,P,67,26,147000,67,3.875,R,N,FRM,OH,SF,430,F20Q10001775,N,344,1,OTHER,N,,N,2,N,9999,28.59,Long-Term,Excellent,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,10,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
719.0,2020-05-01,N,2035-04-01,28940,0,1,I,44,42,50000,44,5.0,R,N,FRM,TN,SF,379,F20Q10001776,C,180,1,OTHER,N,,N,2,N,9999,14.92,Short-Term,Good,High DTI,Low LTV,Low CLTV,Moderate Risk Indicators,9,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
811.0,2020-03-01,Y,2050-02-01,49660,25,1,P,90,41,198000,90,3.75,R,N,FRM,OH,SF,444,F20Q10001788,P,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Excellent,High DTI,High LTV,High CLTV,High Risk Indicators,74,0,0,0.0,169212.57,0,0,0.0,0.0,Active Balance
822.0,2020-03-01,N,2035-02-01,,0,1,S,75,16,263000,75,3.25,R,N,FRM,MI,SF,494,F20Q10001804,C,180,1,OTHER,N,,N,2,N,9999,14.92,Short-Term,Excellent,Low DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,14,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
761.0,2020-03-01,N,2050-02-01,38900,0,1,P,73,25,272000,73,3.75,R,N,FRM,OR,SF,972,F20Q10001817,N,360,2,OTHER,N,,N,2,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Moderate LTV,Moderate CLTV,Lower Risk Indicators,17,2,0,1.0,0.0,1,0,0.1176,0.0,Zero Balance
811.0,2020-03-01,Y,2050-02-01,38900,30,1,P,94,28,417000,94,3.875,R,N,FRM,OR,SF,972,F20Q10001855,P,360,1,OTHER,N,,N,2,N,9999,29.92,Long-Term,Excellent,Moderate DTI,High LTV,High CLTV,Moderate Risk Indicators,74,0,0,0.0,364133.49,0,0,0.0,0.0,Active Balance
796.0,2020-03-01,N,2050-02-01,40420,0,1,P,59,28,141000,59,3.75,R,N,FRM,IL,SF,610,F20Q10001915,N,360,2,OTHER,N,,N,1,N,9999,29.92,Long-Term,Very Good,Moderate DTI,Low LTV,Low CLTV,Lower Risk Indicators,8,0,0,0.0,0.0,0,0,0.0,0.0,Zero Balance
